date,mean_daily_new_cases,cumulative_cases
2017-03-21,1.0,1.0
2017-03-22,0.176,1.176
2017-03-23,0.209,1.385
2017-03-24,0.262,1.647
2017-03-25,0.276,1.923
2017-03-26,0.383,2.306
2017-03-27,0.405,2.711
2017-03-28,0.485,3.196
2017-03-29,0.549,3.745
2017-03-30,0.658,4.403
2017-03-31,0.75,5.153
2017-04-01,0.883,6.036
2017-04-02,1.001,7.037
2017-04-03,1.161,8.198
2017-04-04,1.322,9.52
2017-04-05,1.5,11.02
2017-04-06,1.844,12.864
2017-04-07,2.0,14.864
2017-04-08,2.289,17.153
2017-04-09,2.553,19.706
2017-04-10,2.988,22.694
2017-04-11,3.187,25.881
2017-04-12,3.485,29.366
2017-04-13,3.83,33.196
2017-04-14,4.246,37.442
2017-04-15,4.758,42.2
2017-04-16,4.998,47.198
2017-04-17,5.308,52.506
2017-04-18,5.638,58.144
2017-04-19,6.034,64.178
2017-04-20,6.298,70.476
2017-04-21,6.56,77.036
2017-04-22,6.577,83.613
2017-04-23,6.86,90.473
2017-04-24,6.972,97.445
2017-04-25,7.093,104.538
2017-04-26,6.916,111.454
2017-04-27,6.914,118.368
2017-04-28,6.69,125.058
2017-04-29,6.591,131.649
2017-04-30,6.376,138.025
2017-05-01,6.08,144.105
2017-05-02,5.891,149.996
2017-05-03,5.795,155.791
2017-05-04,5.396,161.187
2017-05-05,5.01,166.197
2017-05-06,4.667,170.864
2017-05-07,4.289,175.153
2017-05-08,4.108,179.261
2017-05-09,3.737,182.998
2017-05-10,3.511,186.509
2017-05-11,3.155,189.664
2017-05-12,2.989,192.653
2017-05-13,2.78,195.433
2017-05-14,2.43,197.863
2017-05-15,2.237,200.1
2017-05-16,2.084,202.184
2017-05-17,1.923,204.107
2017-05-18,1.702,205.809
2017-05-19,1.534,207.343
2017-05-20,1.376,208.719
2017-05-21,1.298,210.017
2017-05-22,1.132,211.149
2017-05-23,0.962,212.111
2017-05-24,0.943,213.054
2017-05-25,0.819,213.873
2017-05-26,0.716,214.589
2017-05-27,0.664,215.253
2017-05-28,0.619,215.872
2017-05-29,0.525,216.397
2017-05-30,0.504,216.901
2017-05-31,0.451,217.352
2017-06-01,0.366,217.718
2017-06-02,0.356,218.074
2017-06-03,0.328,218.402
2017-06-04,0.277,218.679
2017-06-05,0.255,218.934
2017-06-06,0.251,219.185
2017-06-07,0.204,219.389
2017-06-08,0.209,219.598
2017-06-09,0.185,219.783
2017-06-10,0.157,219.94
2017-06-11,0.17,220.11
2017-06-12,0.151,220.261
2017-06-13,0.12,220.381
2017-06-14,0.132,220.513
2017-06-15,0.114,220.627
2017-06-16,0.11,220.737
2017-06-17,0.103,220.84
2017-06-18,0.082,220.922
2017-06-19,0.085,221.007
2017-06-20,0.095,221.102
2017-06-21,0.086,221.188
2017-06-22,0.057,221.245
2017-06-23,0.071,221.316
2017-06-24,0.063,221.379
2017-06-25,0.045,221.424
2017-06-26,0.057,221.481
2017-06-27,0.065,221.546
2017-06-28,0.057,221.603
2017-06-29,0.048,221.651
2017-06-30,0.045,221.696
2017-07-01,0.042,221.738
2017-07-02,0.043,221.781
2017-07-03,0.032,221.813
2017-07-04,0.043,221.856
2017-07-05,0.037,221.893
2017-07-06,0.038,221.931
2017-07-07,0.033,221.964
2017-07-08,0.04,222.004
2017-07-09,0.018,222.022
2017-07-10,0.036,222.058
2017-07-11,0.023,222.081
2017-07-12,0.023,222.104
2017-07-13,0.027,222.131
2017-07-14,0.025,222.156
2017-07-15,0.02,222.176
2017-07-16,0.027,222.203
2017-07-17,0.018,222.221
2017-07-18,0.026,222.247
2017-07-19,0.019,222.266
2017-07-20,0.028,222.294
2017-07-21,0.026,222.32
2017-07-22,0.021,222.341
2017-07-23,0.02,222.361
2017-07-24,0.027,222.388
2017-07-25,0.021,222.409
2017-07-26,0.018,222.427
2017-07-27,0.017,222.444
2017-07-28,0.013,222.457
2017-07-29,0.014,222.471
2017-07-30,0.016,222.487
2017-07-31,0.011,222.498
2017-08-01,0.015,222.513
2017-08-02,0.014,222.527
2017-08-03,0.015,222.542
2017-08-04,0.004,222.546
2017-08-05,0.022,222.568
2017-08-06,0.009,222.577
2017-08-07,0.014,222.591
2017-08-08,0.013,222.604
2017-08-09,0.007,222.611
2017-08-10,0.014,222.625
2017-08-11,0.013,222.638
2017-08-12,0.008,222.646
2017-08-13,0.007,222.653
2017-08-14,0.01,222.663
2017-08-15,0.012,222.675
2017-08-16,0.004,222.679
2017-08-17,0.011,222.69
2017-08-18,0.008,222.698
2017-08-19,0.006,222.704
2017-08-20,0.005,222.709
2017-08-21,0.008,222.717
2017-08-22,0.011,222.728
2017-08-23,0.007,222.735
2017-08-24,0.011,222.746
2017-08-25,0.007,222.753
2017-08-26,0.005,222.758
2017-08-27,0.006,222.764
2017-08-28,0.01,222.774
2017-08-29,0.009,222.783
2017-08-30,0.01,222.793
2017-08-31,0.005,222.798
2017-09-01,0.005,222.803
2017-09-02,0.006,222.809
2017-09-03,0.008,222.817
2017-09-04,0.002,222.819
2017-09-05,0.001,222.82
2017-09-06,0.004,222.824
2017-09-07,0.005,222.829
2017-09-08,0.005,222.834
2017-09-09,0.003,222.837
2017-09-10,0.004,222.841
2017-09-11,0.006,222.847
2017-09-12,0.005,222.852
2017-09-13,0.003,222.855
2017-09-14,0.006,222.861
2017-09-15,0.004,222.865
2017-09-16,0.004,222.869
2017-09-17,0.004,222.873
2017-09-18,0.002,222.875
2017-09-19,0.001,222.876
2017-09-20,0.003,222.879
2017-09-21,0.006,222.885
2017-09-22,0.002,222.887
2017-09-23,0.005,222.892
2017-09-24,0.004,222.896
2017-09-25,0.002,222.898
2017-09-26,0.006,222.904
2017-09-27,0.003,222.907
2017-09-28,0.003,222.91
2017-09-29,0.004,222.914
2017-09-30,0.003,222.917
2017-10-01,0.004,222.921
2017-10-02,0.004,222.925
2017-10-03,0.001,222.926
2017-10-04,0.003,222.929
2017-10-05,0.002,222.931
2017-10-06,0.001,222.932
2017-10-07,0.004,222.936
2017-10-08,0.0,222.936
2017-10-09,0.002,222.938
2017-10-10,0.002,222.94
2017-10-11,0.002,222.942
2017-10-12,0.0,222.942
2017-10-13,0.002,222.944
2017-10-14,0.002,222.946
2017-10-15,0.0,222.946
2017-10-16,0.001,222.947
2017-10-17,0.0,222.947
2017-10-18,0.002,222.949
2017-10-19,0.002,222.951
2017-10-20,0.002,222.953
2017-10-21,0.0,222.953
2017-10-22,0.001,222.954
2017-10-23,0.001,222.955
2017-10-24,0.0,222.955
2017-10-25,0.001,222.956
2017-10-26,0.0,222.956
2017-10-27,0.001,222.957
2017-10-28,0.0,222.957
2017-10-29,0.004,222.961
2017-10-30,0.003,222.964
2017-10-31,0.001,222.965
2017-11-01,0.0,222.965
2017-11-02,0.001,222.966
2017-11-03,0.001,222.967
2017-11-04,0.001,222.968
2017-11-05,0.0,222.968
2017-11-06,0.001,222.969
2017-11-07,0.0,222.969
2017-11-08,0.001,222.97
2017-11-09,0.0,222.97
2017-11-10,0.0,222.97
2017-11-11,0.0,222.97
2017-11-12,0.002,222.972
2017-11-13,0.001,222.973
2017-11-14,0.002,222.975
2017-11-15,0.0,222.975
2017-11-16,0.001,222.976
2017-11-17,0.002,222.978
2017-11-18,0.0,222.978
2017-11-19,0.0,222.978
2017-11-20,0.0,222.978
2017-11-21,0.0,222.978
2017-11-22,0.0,222.978
2017-11-23,0.001,222.979
2017-11-24,0.001,222.98
2017-11-25,0.001,222.981
2017-11-26,0.0,222.981
2017-11-27,0.0,222.981
2017-11-28,0.0,222.981
2017-11-29,0.001,222.982
2017-11-30,0.0,222.982
2017-12-01,0.0,222.982
2017-12-02,0.0,222.982
2017-12-03,0.001,222.983
2017-12-04,0.0,222.983
2017-12-05,0.0,222.983
2017-12-06,0.0,222.983
2017-12-07,0.001,222.984
2017-12-08,0.0,222.984
2017-12-09,0.001,222.985
2017-12-10,0.0,222.985
2017-12-11,0.0,222.985
2017-12-12,0.001,222.986
2017-12-13,0.0,222.986
2017-12-14,0.0,222.986
2017-12-15,0.0,222.986
2017-12-16,0.0,222.986
2017-12-17,0.0,222.986
2017-12-18,0.0,222.986
2017-12-19,0.0,222.986
2017-12-20,0.001,222.987
2017-12-21,0.0,222.987
2017-12-22,0.0,222.987
2017-12-23,0.0,222.987
2017-12-24,0.0,222.987
2017-12-25,0.0,222.987
2017-12-26,0.0,222.987
2017-12-27,0.0,222.987
2017-12-28,0.0,222.987
2017-12-29,0.0,222.987
2017-12-30,0.0,222.987
2017-12-31,0.0,222.987
2018-01-01,0.0,222.987
2018-01-02,0.0,222.987
2018-01-03,0.0,222.987
2018-01-04,0.0,222.987
2018-01-05,0.0,222.987
2018-01-06,0.0,222.987
2018-01-07,0.001,222.988
2018-01-08,0.001,222.989
2018-01-09,0.0,222.989
2018-01-10,0.0,222.989
2018-01-11,0.0,222.989
2018-01-12,0.001,222.99
2018-01-13,0.0,222.99
2018-01-14,0.0,222.99
2018-01-15,0.0,222.99
2018-01-16,0.0,222.99
2018-01-17,0.001,222.991
2018-01-18,0.001,222.992
2018-01-19,0.0,222.992
2018-01-20,0.0,222.992
2018-01-21,0.0,222.992
2018-01-22,0.001,222.993
2018-01-23,0.0,222.993
2018-01-24,0.0,222.993
2018-01-25,0.0,222.993
2018-01-26,0.0,222.993
2018-01-27,0.001,222.994
2018-01-28,0.0,222.994
2018-01-29,0.0,222.994
2018-01-30,0.002,222.996
2018-01-31,0.0,222.996
2018-02-01,0.0,222.996
2018-02-02,0.0,222.996
2018-02-03,0.0,222.996
2018-02-04,0.0,222.996
2018-02-05,0.0,222.996
2018-02-06,0.0,222.996
2018-02-07,0.001,222.997
2018-02-08,0.0,222.997
2018-02-09,0.0,222.997
2018-02-10,0.0,222.997
2018-02-11,0.0,222.997
2018-02-12,0.0,222.997
2018-02-13,0.0,222.997
2018-02-14,0.0,222.997
2018-02-15,0.0,222.997
2018-02-16,0.0,222.997
2018-02-17,0.0,222.997
2018-02-18,0.0,222.997
2018-02-19,0.0,222.997
2018-02-20,0.0,222.997
2018-02-21,0.0,222.997
2018-02-22,0.0,222.997
2018-02-23,0.0,222.997
2018-02-24,0.0,222.997
2018-02-25,0.0,222.997
2018-02-26,0.0,222.997
2018-02-27,0.0,222.997
2018-02-28,0.0,222.997
2018-03-01,0.0,222.997
2018-03-02,0.001,222.998
2018-03-03,0.0,222.998
2018-03-04,0.0,222.998
2018-03-05,0.0,222.998
2018-03-06,0.0,222.998
2018-03-07,0.0,222.998
2018-03-08,0.0,222.998
2018-03-09,0.0,222.998
2018-03-10,0.0,222.998
2018-03-11,0.0,222.998
2018-03-12,0.0,222.998
2018-03-13,0.0,222.998
2018-03-14,0.0,222.998
2018-03-15,0.0,222.998
2018-03-16,0.0,222.998
2018-03-17,0.0,222.998
2018-03-18,0.0,222.998
2018-03-19,0.0,222.998
2018-03-20,0.0,222.998
